地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>スロバキア(Slovakia)</TITLE>,,,,,,
ブラチスラバ,Bratislava,48.10001,17.08002,都市,5,
コシツェ,Kosice,48.43451,21.15151,都市,5,
