地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ボリビア(Bolivia)</TITLE>,,,,,,
ラパス,La Paz,-16.29002,-68.10001,大都市,3,
サンタクルス,Santa Cruz,-17.45302,-63.12598,大都市,3,
コチャバンバ,Cochabamba,-17.24299,-66.09302,都市,3,
オルロ,Oruro,-17.57299,-67.08298,都市,4,
スクレ,Sucre,-19.043,-65.15302,都市,4,
ポトシ,Potosi,-19.33302,-65.45,都市,4,
