地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>アメリカ(USA)</TITLE>,,,,,,
ナイアガラフォールズ,Niagara Falls,43.06,-79.02301,小都市,5,
ノース・カロライナ州,North Carolina,35.4123,-078.3239,州,4,
シャーロット,Charlotte,35.12302,-80.49599,都市,3,
グリーンズボロ,Greensboro,36.03302,-79.48299,都市,5,
ローリー,Raleigh,35.47002,-78.39,都市,5,
ダラム,Durham,35.59,-78.53298,都市,5,
ノース・ダコタ州,North Dakota,47.1654,-100.4730,州,4,
ビスマーク,Bismark,46.3,-100.1,小都市,3,
オハイオ州,Ohio,40.3839,-083.3855,州,4,
コロンバス,Columbus,39.57,-82.59,大都市,3,
クリーヴランド,Cleveland,41.283,-81.39299,大都市,3,
シンシナティ,Cincinnati,39.1,-84.283,都市,4,
トリード,Tledo,41.38298,-83.33302,都市,4,
アクロン,Akron,41.04001,-81.3,都市,5,
ヤングズタウン,Youngstown,41.05298,-80.373,都市,5,
デートン,Dayton,39.45302,-84.09598,都市,5,
オクラホマ州,Oklahoma,34.3159,-098.0250,州,4,
オクラホマシティ,Oklahoma City,35.28001,-97.3,都市,3,
タルサ,Tulsa,36.09302,-95.583,都市,3,
オレゴン州,Oregon,45.0401,-119.3910,州,4,
ポートランド,Portland,45.31001,-122.383,都市,3,
ユージン,Eugene,44.02298,-123.036,都市,5,
ペンシルバニア州,Pennsylvania,41.1240,-078.1438,州,4,
フィラデルフィア,Philadelphia,39.583,-75.11002,巨大都市,3,
ピッツバーグ,Pittsburgh,40.26,-79.59,都市,4,
アレンタウン,Allentown,40.36,-75.283,都市,5,
エリー,Erie,42.07001,-80.043,都市,5,
ロードアイランド州,Rhode Island,41.4307,-071.3112,州,4,
プロビデンス,Providence,41.493,-71.24598,都市,5,
サウスカロライナ州,South Carolina,34.1219,-080.5446,州,4,
サウスダコタ州,South Dakota,45.1301,-100.1534,州,4,
ピーア,Pierre,44.3,-100.1,小都市,3,
テネシー州,Tennessee,35.3323,-087.0106,州,4,
ナッシュヴィル,Nashville,36.08298,-86.47298,大都市,3,
メンフィス,Memphis,35.08,-90.00598,大都市,3,
ノックスビル,Knoxville,35.583,-83.54302,都市,5,
チャタヌーガ,Chattanooga,35.02,-85.17002,都市,5,
テキサス州,Texas,30.5615,-099.4213,州,4,
オースティン,Austin,30.163,-97.433,都市,3,
ヒューストン,Houston,29.45,-95.24302,巨大都市,2,
ダラス,Dallas,32.47,-96.47298,巨大都市,2,
サンアントニオ,San Antonio,29.25001,-98.3,大都市,3,
ウェーコ,Waco,31.32,-97.09,都市,5,
フォートワース,Fort Worth,32.44002,-97.19001,都市,4,
ボーモント,Beaumont,30.05,-94.06598,都市,5,
コーパス・クリスティ,Corpus Christi,27.47298,-97.24299,都市,5,
ラレド,Laredo,27.31,-99.29298,都市,5,
ラボック,Lubbock,33.35002,-101.51,都市,5,
アマリロ,Amarillo,35.13001,-101.49,都市,5,
ブラウンズビル,Brownsville,25.55,-97.29298,都市,5,
エルパソ,El Paso,31.46,-106.276,大都市,2,
ユタ州,Utah,39.2110,-112.0827,州,4,
ソルト・レーク・シティ,Salt Lake City,40.46,-111.533,都市,3,
バーモント州,Vermont,44.2654,-072.2954,州,4,
バージニア州,Virginia,37.0826,-078.2520,州,4,
リッチモンド,Richmond,37.32002,-77.27598,都市,5,
ノーフォーク,Norfolk,36.51,-76.163,都市,3,
ニューポート・ニューズ,Newport News,36.59002,-76.25001,都市,5,
ロアノーク,Roanoke,37.163,-79.56298,都市,5,
ワシントン州,Washington,47.5432,-119.2112,州,4,
シアトル,Seattle,47.36,-122.19,大都市,2,
スポーカン,Spokane,47.39,-117.24,都市,5,
タコマ,Tacoma,47.14298,-122.256,都市,5,
ウエスト・バージニア州,West Virginia,38.5033,-080.4846,州,4,
ウイスコンシン,Wisconsin,45.2202,-091.1522,州,4,
ミルウォーキー,Milwaukee,43.02298,-87.553,大都市,3,
マディソン,Madison,43.043,-89.24,都市,5,
ワイオミング,Wyoming,42.5642,-107.4248,州,4,
シャイアン,Cheyenne,41,-105,小都市,3,
