地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>マリ(Mali)</TITLE>,,,,,,
バマコ,Bamako,12.40001,-7.58599,大都市,2,
セグー,Segou,13.26301,-6.163,小都市,4,
モプチ,Mopti,14.283,-4.10001,小都市,4,
ケーズ,Kayes,14.253,-11.27,小都市,4,
