地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ドミニカ共和国(Dominican Republic)</TITLE>,,,,,,
サントドミンゴ,Santo Domingo,18.30302,-69.57,巨大都市,3,
