地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>中国(China)</TITLE>,,,,,,
通遼,Tongliao,43.373,122.133,都市,5,
赤峰,Chifeng,42.20002,118.583,都市,5,
呼和浩特,Hohhot,40.51,111.36,大都市,5,
包頭,Baotou,40.41002,109.52,大都市,3,
甘粛省,カンスー,35.0000,104.0000,州,4,00000
蘭州,Lanzhou,36.03302,103.43,巨大都市,3,
天水,Tianshui,34.32298,105.503,都市,5,
ユーメン,Yumen,40,98.3,都市,3,
青海省,チンハイ,36.0000,096.0000,州,4,00000
西寧,Xining,36.38298,101.493,大都市,2,
新疆維吾爾自治区,シンチャンウイグル,42.0000,085.0000,州,4,00000
ハミ,Hami,42.3,93.3,都市,3,
ウルムチ,Urumqi,44.1736,86.1408,巨大都市,2,
カシュガル,Kaxgar,39.3,75.3,大都市,3,
ホータン,Hotan,37,80,都市,3,
西蔵自治区,シーツァン,31.0000,088.0000,州,4,00000
ラサ,Lhasa,29.3,91,都市,3,
