地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>スリランカ(Sri Lanka)</TITLE>,,,,,,
コロンボ,Colombo,6.54,79.51,大都市,3,
ジャフナ,Jaffna,9.41301,80.02002,都市,5,
キャンディー,Kandy,7.20298,80.39,都市,5,
ガル,Galle,6.02002,80.14301,都市,5,
ネゴンボ,Negombo,7.14301,79.51302,小都市,5,
スリジャナワルダナプラ,Srijanawardenepura,6.4242,80.2502,都市,4,
