地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>トリニダード・トバゴ(Trinidad & Tobago)</TITLE>,,,,,,
ポートオブスペイン,Port Of spain,10.39,-61.30302,都市,3,
