地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>コンゴ共和国(Rep.of Congo)</TITLE>,,,,,,
ブラザビル,Brazzaville,-4.12,15.133,大都市,4,
ポアント・ノアール,Pointe-Noire,-4.36209,11.54119,都市,4,
