地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>カンボジア(Cambodia)</TITLE>,,,,,,
プノンペン,Phnompenh,11.35,104.54,大都市,3,
シエムリアプ,Siem Reap,13.25458,103.5324,小都市,4,
シアヌークビル,Sihanoukville,10.36389,103.4152,都市,5,
