地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ニュージーランド(New Zealand)</TITLE>,,,,,,
パーマストンノース,Palmerston North,-40.18302,175.373,小都市,4,
ロトルア,Rotorua,-38.09,176.15,小都市,3,
ハミルトン,Hamilton,-37.463,175.163,小都市,4,
オークランド,Auckland,-36.53301,174.463,大都市,2,
クライストチャーチ,Christchurch,-43.33302,172.39,大都市,2,
ダニーディン,Dunedin,-45.52001,170.303,都市,3,
ウェリントン,Wellington,-41.18,174.45,都市,3,
