地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>ラオス(Laos)</TITLE>,,,,,,
ビエンチャン,Vientiane,17.59298,102.37,都市,3,
フォンサリ,Phong Saly,21.41442,102.141,小都市,4,
ナープ,Nape,18.25188,104.3932,小都市,4,
パクセ,Pakse,15.11193,105.5519,小都市,4,
