地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>モザンビーク(Mozambique)</TITLE>,,,,,,
マプート,Maputo,-25.56002,32.35,大都市,2,
ベイラ,Beira,-19.48302,34.523,都市,5,
