地名,ちめい,緯度,経度,種別,レイヤ,コードNo.
<TITLE>スロベニア(Slovenia)</TITLE>,,,,,,
マリボル,Maribor,46.33151,15.39,都市,5,
リュブリャナ,Ljublijana,46.04001,14.3,大都市,4,
